,id,name,total shots,shots on goals,total goals,conceded goals,assists goals,saved goals,total passes,key passes,accuracy passes,total tackles,blocks,interceptions,total duels,won duels,dribble attempts,dribble success,dribble past,drawn fouls,committed fouls,yellow cards,red cards,won penalties,committed pentalties,scored penalty,missed penalty,penalty saved,minutes
0,2482,Camilo Vargas,0,0,None,0,None,5,13,0,41%,None,0,0,0,0,0,0,None,0,0,0,0,None,,0,0,0,90
1,36160,Diego Barbosa,0,0,None,0,None,None,22,0,71%,5,2,0,14,9,1,1,2,2,1,0,0,None,,0,0,None,90
2,35779,Hugo Nervo,0,0,None,0,None,None,26,0,68%,None,2,0,14,5,0,0,None,1,2,1,0,None,,0,0,None,90
3,35836,Jorge Segura,0,0,None,0,None,None,28,0,87%,None,1,1,8,3,1,1,None,0,2,1,0,None,,0,0,None,90
4,35773,Jesús Angulo,0,0,None,0,None,None,16,0,76%,None,0,1,13,5,1,0,1,2,4,0,0,None,,0,0,None,87
5,35856,Edgar Zaldívar,0,0,None,0,None,None,24,0,88%,1,0,1,2,2,0,0,None,1,0,0,0,None,,0,0,None,62
6,35849,Jesús Isijara,1,1,1,0,None,None,18,0,78%,1,0,1,15,6,3,2,2,3,2,0,0,None,,0,0,None,90
7,35851,Osvaldo Martínez,1,1,None,0,1,None,34,1,87%,None,0,0,7,0,1,0,None,0,3,0,0,None,,0,0,None,90
8,36180,Edson Rivera,0,0,None,0,None,None,15,0,88%,None,0,0,6,3,1,1,1,2,2,0,0,None,,0,0,None,45
9,35864,Ian Torres,1,0,None,0,None,None,17,0,89%,None,0,3,11,5,2,2,None,3,2,0,0,None,,0,0,None,90
10,35790,Javier Correa,0,0,None,0,None,None,9,0,45%,None,1,0,14,4,4,0,1,2,2,0,0,None,,0,0,None,90
11,35841,Daniel Aguilar,0,0,None,0,None,None,0,0,0%,None,0,0,0,0,0,0,None,0,0,0,0,None,,0,0,None,3
12,35843,Andrés Andrade,0,0,None,0,None,None,7,0,58%,1,0,1,9,1,1,0,1,0,4,0,0,None,,0,0,None,45
